File	Title	Slug	Page Type
files/en-us/web/css/_colon_only-of-type/index.md	:only-of-type	Web/CSS/:only-of-type	css-pseudo-class
files/en-us/web/css/_colon_open/index.md	:open	Web/CSS/:open	css-pseudo-class
files/en-us/web/css/_colon_optional/index.md	:optional	Web/CSS/:optional	css-pseudo-class
files/en-us/web/css/_colon_out-of-range/index.md	:out-of-range	Web/CSS/:out-of-range	css-pseudo-class
files/en-us/web/css/_colon_past/index.md	:past	Web/CSS/:past	css-pseudo-class
files/en-us/web/css/_colon_paused/index.md	:paused	Web/CSS/:paused	css-pseudo-class
files/en-us/web/css/_colon_picture-in-picture/index.md	:picture-in-picture	Web/CSS/:picture-in-picture	css-pseudo-class
files/en-us/web/css/_colon_placeholder-shown/index.md	:placeholder-shown	Web/CSS/:placeholder-shown	css-pseudo-class
files/en-us/web/css/_colon_playing/index.md	:playing	Web/CSS/:playing	css-pseudo-class
files/en-us/web/css/_colon_popover-open/index.md	:popover-open	Web/CSS/:popover-open	css-pseudo-class
files/en-us/web/css/_colon_read-only/index.md	:read-only	Web/CSS/:read-only	css-pseudo-class
files/en-us/web/css/_colon_read-write/index.md	:read-write	Web/CSS/:read-write	css-pseudo-class
files/en-us/web/css/_colon_required/index.md	:required	Web/CSS/:required	css-pseudo-class
files/en-us/web/css/_colon_right/index.md	:right	Web/CSS/:right	css-pseudo-class
files/en-us/web/css/_colon_root/index.md	:root	Web/CSS/:root	css-pseudo-class
files/en-us/web/css/_colon_scope/index.md	:scope	Web/CSS/:scope	css-pseudo-class
files/en-us/web/css/_colon_seeking/index.md	:seeking	Web/CSS/:seeking	css-pseudo-class
files/en-us/web/css/_colon_stalled/index.md	:stalled	Web/CSS/:stalled	css-pseudo-class
files/en-us/web/css/_colon_state/index.md	:state()	Web/CSS/:state	css-pseudo-class
files/en-us/web/css/_colon_target-current/index.md	:target-current	Web/CSS/:target-current	css-pseudo-class
files/en-us/web/css/_colon_target-within/index.md	:target-within	Web/CSS/:target-within	css-pseudo-class
files/en-us/web/css/_colon_target/index.md	:target	Web/CSS/:target	css-pseudo-class
files/en-us/web/css/_colon_user-invalid/index.md	:user-invalid	Web/CSS/:user-invalid	css-pseudo-class
files/en-us/web/css/_colon_user-valid/index.md	:user-valid	Web/CSS/:user-valid	css-pseudo-class
files/en-us/web/css/_colon_valid/index.md	:valid	Web/CSS/:valid	css-pseudo-class
files/en-us/web/css/_colon_visited/index.md	:visited	Web/CSS/:visited	css-pseudo-class
files/en-us/web/css/_colon_volume-locked/index.md	:volume-locked	Web/CSS/:volume-locked	css-pseudo-class
files/en-us/web/css/_colon_where/index.md	:where()	Web/CSS/:where	css-pseudo-class
files/en-us/web/css/_doublecolon_-moz-color-swatch/index.md	::-moz-color-swatch	Web/CSS/::-moz-color-swatch	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-focus-inner/index.md	::-moz-focus-inner	Web/CSS/::-moz-focus-inner	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-list-bullet/index.md	::-moz-list-bullet	Web/CSS/::-moz-list-bullet	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-list-number/index.md	::-moz-list-number	Web/CSS/::-moz-list-number	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-meter-bar/index.md	::-moz-meter-bar	Web/CSS/::-moz-meter-bar	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-progress-bar/index.md	::-moz-progress-bar	Web/CSS/::-moz-progress-bar	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-range-progress/index.md	::-moz-range-progress	Web/CSS/::-moz-range-progress	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-range-thumb/index.md	::-moz-range-thumb	Web/CSS/::-moz-range-thumb	css-pseudo-element
files/en-us/web/css/_doublecolon_-moz-range-track/index.md	::-moz-range-track	Web/CSS/::-moz-range-track	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-inner-spin-button/index.md	::-webkit-inner-spin-button	Web/CSS/::-webkit-inner-spin-button	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-meter-bar/index.md	::-webkit-meter-bar	Web/CSS/::-webkit-meter-bar	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-meter-even-less-good-value/index.md	::-webkit-meter-even-less-good-value	Web/CSS/::-webkit-meter-even-less-good-value	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-meter-inner-element/index.md	::-webkit-meter-inner-element	Web/CSS/::-webkit-meter-inner-element	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-meter-optimum-value/index.md	::-webkit-meter-optimum-value	Web/CSS/::-webkit-meter-optimum-value	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-meter-suboptimum-value/index.md	::-webkit-meter-suboptimum-value	Web/CSS/::-webkit-meter-suboptimum-value	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-progress-bar/index.md	::-webkit-progress-bar	Web/CSS/::-webkit-progress-bar	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-progress-inner-element/index.md	::-webkit-progress-inner-element	Web/CSS/::-webkit-progress-inner-element	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-progress-value/index.md	::-webkit-progress-value	Web/CSS/::-webkit-progress-value	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-scrollbar/index.md	::-webkit-scrollbar	Web/CSS/::-webkit-scrollbar	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-search-cancel-button/index.md	::-webkit-search-cancel-button	Web/CSS/::-webkit-search-cancel-button	css-pseudo-element
files/en-us/web/css/_doublecolon_-webkit-search-results-button/index.md	::-webkit-search-results-button	Web/CSS/::-webkit-search-results-button	css-pseudo-element
